City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,urangan,-25.3,152.9,25.16,79,100,4.91,AU,1738801315
225,jalai nur,49.45,117.7,-21.66,89,100,3.98,CN,1738801316
226,terekli-mekteb,44.1671,45.8698,1.13,90,100,4.58,RU,1738801317
227,kourou,5.1552,-52.6478,24.18,94,95,3.18,GF,1738801318
228,lebu,-37.6167,-73.65,16.25,92,4,5.89,CL,1738801319
229,anadyr,64.75,177.4833,-36.67,65,0,5.0,RU,1738801117
230,haiku-pauwela,20.9219,-156.3051,23.98,78,40,8.05,US,1738801321
231,ouddorp,51.8117,3.9347,3.88,94,100,3.52,NL,1738801323
232,la passe,45.5549,-0.8967,6.6,83,83,5.64,FR,1738801092
233,paranaiba,-19.6772,-51.1908,22.6,85,99,2.15,BR,1738801325
234,sayan,-11.1361,-77.1933,22.36,79,100,1.92,PE,1738801326
235,enriquillo,17.9,-71.2333,23.03,88,42,5.41,DO,1738801327
236,mugia,43.1041,-9.2179,8.84,79,100,1.61,ES,1738801328
237,taltal,-25.4,-70.4833,19.77,84,34,1.44,CL,1738801129
238,tsiombe,-25.3,45.4833,24.4,97,38,2.09,MG,1738801330
239,tommot,58.9564,126.2925,-42.81,100,98,0.27,RU,1738801331
240,beau vallon,-20.4189,57.6953,26.13,89,20,1.54,MU,1738801332
241,mili,6.0815,171.735,27.05,83,72,10.11,MH,1738801333
242,bandarbeyla,9.4942,50.8122,22.93,74,61,6.54,SO,1738801334
243,westport,41.1415,-73.3579,-1.1,50,0,2.06,US,1738801335
244,buka,40.8108,69.1986,4.24,49,100,0.33,UZ,1738801336
245,sihanoukville,10.6093,103.5296,22.97,94,40,1.03,KH,1738801337
246,howard springs,-12.497,131.047,28.32,93,96,4.45,AU,1738801338
247,ola,59.5833,151.2833,-20.9,78,6,4.0,RU,1738801340
248,porto murtinho,-21.6989,-57.8825,29.83,57,14,5.24,BR,1738801341
249,wanning,18.8003,110.3967,19.36,85,86,1.78,CN,1738801342
250,timbiqui,2.7717,-77.6654,24.21,93,93,1.72,CO,1738801343
251,handan,36.6006,114.4678,-0.63,23,50,1.98,CN,1738801344
252,seguela,7.9611,-6.6731,24.93,23,20,1.33,CI,1738801345
253,yusufeli,40.8204,41.5443,0.93,95,100,1.67,TR,1738801346
254,fort mcmurray,56.7268,-111.381,-14.23,72,100,5.66,CA,1738801347
255,urengoy,65.9667,78.3667,-19.76,100,91,2.82,RU,1738801349
256,kapa'a,22.0752,-159.319,24.18,75,40,4.12,US,1738801350
257,ome,35.7839,139.2431,4.59,22,0,1.54,JP,1738801352
258,nelson,-41.2833,173.2833,21.27,83,100,0.45,NZ,1738801353
259,high river,50.5834,-113.8687,-19.83,85,100,2.08,CA,1738801354
260,corralillo,22.9819,-80.5856,22.9,73,3,6.27,CU,1738801355
261,jayapura,-2.5333,140.7,26.66,92,100,1.23,ID,1738801356
262,nemuro,43.3236,145.575,0.55,79,11,6.28,JP,1738801358
263,gupitan,7.7758,125.6406,22.2,98,100,1.65,PH,1738801359
264,kpandu,6.9954,0.2931,26.5,71,12,3.68,GH,1738801360
265,quellon,-43.1167,-73.6167,13.56,78,92,4.96,CL,1738801361
266,borogontsy,62.6683,131.1683,-43.16,100,54,1.34,RU,1738801362
267,svetlograd,45.3353,42.8547,-1.49,93,99,4.29,RU,1738801363
268,salalah,17.0151,54.0924,20.05,73,75,2.57,OM,1738801365
269,hasaki,35.7333,140.8333,4.66,32,0,7.15,JP,1738801366
270,baruun-urt,46.6806,113.2792,-23.7,86,96,6.81,MN,1738801367
271,muravlenko,63.7898,74.523,-14.92,98,98,3.72,RU,1738801368
272,erenhot,43.6475,111.9767,-18.71,72,100,7.79,CN,1738801370
273,ziniare,12.5822,-1.2983,24.3,17,20,3.99,BF,1738801371
274,salinopolis,-0.6136,-47.3561,26.23,83,92,4.5,BR,1738801372
275,wenatchee,47.4235,-120.3103,-3.86,72,100,2.06,US,1738801373
276,saint-louis,16.3333,-15.0,19.99,13,1,4.43,SN,1738801214
277,rouissat,31.9243,5.3502,9.04,71,0,2.06,DZ,1738801375
278,abbeville,50.1,1.8333,1.94,85,100,1.43,FR,1738801376
279,taunggyi,20.7833,97.0333,10.61,75,4,0.49,MM,1738801377
280,artesia,33.8658,-118.0831,20.19,71,40,0.89,US,1738801286
281,joetsu,37.1483,138.2364,-1.05,95,99,10.69,JP,1738801380
282,tashtyp,52.7939,89.8983,-21.22,98,79,0.53,RU,1738801381
283,taoudenni,22.6783,-3.9836,16.14,18,0,5.66,ML,1738801382
284,necochea,-38.5473,-58.7368,18.67,69,67,4.67,AR,1738801204
285,wailua homesteads,22.0669,-159.378,23.44,75,40,4.12,US,1738801384
286,ternate,0.8,127.4,27.26,80,100,3.45,ID,1738801385
287,poronaysk,49.2167,143.1167,-1.93,87,63,5.15,RU,1738801387
288,sparta,43.9441,-90.8129,-2.22,63,100,2.57,US,1738801273
289,north liberty,41.7492,-91.598,-1.8,92,100,5.14,US,1738801389
290,coquimbo,-29.9533,-71.3436,18.85,77,0,2.06,CL,1738800797
291,sidi okba,34.7451,5.8983,12.16,62,40,2.06,DZ,1738801392
292,constantia,44.1833,28.65,-2.39,65,12,6.01,RO,1738801393
293,diez,50.3667,8.0167,1.54,96,88,1.16,DE,1738801394
294,bayambang,15.7833,120.4333,24.85,68,88,3.64,PH,1738801395
295,hai duong,20.9333,106.3167,16.02,82,100,0.68,VN,1738801396
296,mwadui,-3.55,33.6,18.48,93,96,2.79,TZ,1738801397
297,hotan,37.0997,79.9269,-2.81,47,100,1.06,CN,1738801398
298,paysandu,-32.3214,-58.0756,21.83,79,89,1.28,UY,1738801399
299,vernon,50.2581,-119.2691,-10.26,46,22,2.24,CA,1738801400
300,nadi,-17.8,177.4167,29.0,74,40,6.17,FJ,1738801401
301,nizhneangarsk,55.7833,109.55,-31.25,77,72,2.26,RU,1738801402
302,ventspils,57.3894,21.5606,4.96,93,75,3.6,LV,1738801403
303,balqash,46.8481,74.995,-14.74,78,0,6.93,KZ,1738801404
304,kyshtovka,56.555,76.6271,-21.76,100,100,2.17,RU,1738801405
305,chashniki,54.8569,29.1607,-5.07,89,85,1.08,BY,1738801408
306,mosjoen,65.836,13.1908,3.29,81,75,1.54,NO,1738801409
307,marienberg,50.65,13.1667,0.33,92,98,1.45,DE,1738801410
308,nyasvizh,53.2181,26.6725,-2.4,63,99,1.38,BY,1738801411
309,georgievka,49.3314,81.5761,-26.45,100,19,1.26,KZ,1738801175
310,ouani,-12.1322,44.4258,27.04,80,97,7.46,KM,1738801413
311,jatai,-17.8814,-51.7144,20.04,94,100,1.7,BR,1738801140
312,turi,40.9173,17.0212,6.15,87,0,1.54,IT,1738801415
313,itoman,26.1247,127.6694,15.22,61,75,2.06,JP,1738801417
314,codrington,-38.2667,141.9667,23.31,54,46,2.91,AU,1738801418
315,songea,-10.6833,35.65,18.35,98,100,0.4,TZ,1738801419
316,sirjan,29.452,55.6814,6.48,33,67,5.44,IR,1738801421
317,mlimba,-8.8,35.8167,22.56,96,100,0.91,TZ,1738801422
318,gavrilov posad,56.5597,40.1175,-3.99,92,19,1.71,RU,1738801423
319,egersund,58.4513,5.9997,3.55,89,29,2.75,NO,1738801425
320,mahanoro,-19.9,48.8,25.4,86,100,2.65,MG,1738801426
321,serowe,-22.3833,26.7167,23.01,52,16,2.51,BW,1738801427
322,hithadhoo,-0.6,73.0833,27.51,67,24,5.58,MV,1738801428
323,flin flon,54.7682,-101.865,-19.09,78,75,2.57,CA,1738801429
324,whitby,54.4877,-0.615,2.3,81,0,2.86,GB,1738801430
325,hebi,35.8992,114.1925,0.45,26,87,2.57,CN,1738801431
326,salekhard,66.53,66.6019,-15.82,95,100,3.06,RU,1738801432
327,de aar,-30.6497,24.0123,18.44,66,80,6.44,ZA,1738801433
328,puerto san jose,13.9256,-90.8244,30.03,68,0,3.09,GT,1738801434
329,ancud,-41.8697,-73.8203,13.92,81,100,3.74,CL,1738801258
330,crane,31.3974,-102.3501,25.49,21,0,1.42,US,1738801437
331,fort bragg,35.139,-79.006,8.91,73,100,4.12,US,1738801438
332,noumea,-22.2763,166.4572,30.57,99,96,0.83,NC,1738801439
333,peace river,56.2501,-117.286,-20.83,84,100,4.12,CA,1738801440
334,myeik,12.4333,98.6,24.2,89,53,3.28,MM,1738801442
335,uturoa,-16.7333,-151.4333,27.93,74,89,5.41,PF,1738801443
336,nema,57.5067,50.5011,-15.96,98,95,1.62,RU,1738801444
337,ylitornio,66.3089,23.6773,-7.76,87,45,2.13,FI,1738801445
338,faro,37.0194,-7.9322,11.88,62,0,2.57,PT,1738801446
339,argo,37.6333,22.7333,5.08,73,0,1.59,GR,1738801447
340,cannonvale,-20.2833,148.7,23.66,93,100,4.93,AU,1738801448
341,provins,48.5833,3.1667,2.36,94,54,2.74,FR,1738801449
342,kloulklubed,7.0419,134.2556,27.49,84,98,7.97,PW,1738801451
343,pacific grove,36.6177,-121.9166,13.57,77,0,5.81,US,1738801452
344,bikenibeu village,1.3673,173.1241,26.88,83,48,5.85,KI,1738801453
345,mount pearl,47.5166,-52.7813,-9.92,70,75,9.77,CA,1738801454
346,acapulco de juarez,16.8634,-99.8901,28.9,65,75,5.14,MX,1738801455
347,boguchany,58.3814,97.4531,-16.43,98,100,1.57,RU,1738801456
348,el alto,-4.2714,-81.2147,22.3,77,33,4.5,PE,1738801457
349,port lincoln,-34.7333,135.8667,20.8,68,0,3.39,AU,1738801159
350,mokhsogollokh,61.4681,128.9203,-42.84,100,68,1.5,RU,1738801460
351,porto novo,6.4965,2.6036,28.9,85,63,3.11,BJ,1738801301
352,villa gesell,-37.2639,-56.973,19.22,77,100,7.86,AR,1738801462
353,la sarre,48.8002,-79.1996,-13.46,88,67,3.71,CA,1738801199
354,susuman,62.7833,148.1667,-41.77,95,68,0.27,RU,1738801343
355,carutapera,-1.195,-46.02,24.88,90,100,2.71,BR,1738801465
356,piqua,40.1448,-84.2424,0.29,88,100,5.08,US,1738801466
357,puerto lleras,3.0223,-73.4044,28.69,49,78,0.69,CO,1738801467
358,fortuna,40.5982,-124.1573,8.85,88,75,5.66,US,1738801468
359,cheremshan,54.6667,51.5,-8.7,85,83,4.32,RU,1738801280
360,laojunmiao,39.8333,97.7333,-11.77,40,42,2.76,CN,1738801470
361,cururupu,-1.8283,-44.8683,23.01,99,49,0.69,BR,1738801472
362,poso,-1.3959,120.7524,26.34,81,100,1.06,ID,1738801474
363,berber,18.0216,33.983,21.15,18,1,8.56,SD,1738801475
364,cova figueira,14.8905,-24.2934,15.57,67,2,7.69,CV,1738801476
